,userid,stars,date,review_head,review,product,product_link
359,Anonymous,5,10/16/16,fairtrade plain tshirt,"Beautiful quality t-shirt, well-made, thick, soft cotton. Good fit. Possibly would have liked it a couple of inches shorter but that's just personal preference.",On Tshirt Women's Blank Grey Organic Fairtrade,https://yotpo.com/go/8svtAk95
360,Anonymous,5,10/15/16,"Lilke the brand that shall not be named, only better for conscience....",Definitely can wear these with a clear conscience,On Sneakers Hitops Black & White Organic Fairtrade,https://yotpo.com/go/6HBqlVxL
361,S :.,5,10/13/16,ethical shoes + comfort + quality = win win,"Fabulous comfort and quality - these shoes are super comfy and they also stand up to the wear and tear of my teenager.
Also fabulous service - when I ordered incorrect size, exchange was a breeze.
Thank you for ethical shoes :o)",On Sneakers Hitops Blue Organic Fairtrade,https://yotpo.com/go/6na2xRJL
362,Anonymous,5,10/12/16,"Lovely material, great style and generous fit","I was a little worried when I saw these only went up to XL in size, as my husband is generally larger than that. But he loves his new organic cotton hoodie. And so do I: so soft and snuggly!",On Unisex Hoodie Zipped Black Organic Fairtrade,https://yotpo.com/go/emyRyJaV
363,Ryan,5,10/11/16,Awesome Kicks!,Love my new Fair-trade ethical low-cut sneakers. Comfy as and they look tops! I can tell people are jealous,On Sneakers Lowcuts Blue Organic Fairtrade,https://yotpo.com/go/3wiA163w
364,Dave,5,10/09/16,Best ethical underwear,Best and cheapest ethical underwear I have tried. The elastic lasts longer than other brands and they're plenty comfy.,"On Trunks, Black, Organic & Fairtrade",https://yotpo.com/go/6ni3rAwz
365,Dave,5,10/09/16,Best ethical underwear,Best and cheapest ethical underwear I have tried. The elastic lasts longer than other brands and they're plenty comfy.,"On Trunks, Heather Grey, Organic & Fairtrade",https://yotpo.com/go/1dWQC2y0
366,Graeme D.,5,10/07/16,awesome hoodie,how good is it to get a fair trade hoodie?!!,On Unisex Hoodie Zipped Black Organic Fairtrade,https://yotpo.com/go/emyRyJaV
367,Ethan,5,10/07/16,Comfy,"Good fit, well made.",On Tshirt Unisex Blank Green Organic Fairtrade,https://yotpo.com/go/mqq54P7f
368,T,5,10/03/16,Awesome!,"Love the T shirt, good fit, good quality, love that it has the fairtrade label on it, makes it bit different than your average tee, very reasonable price for fair trade clothing",On Tshirt Women's Blank Black Organic Fairtrade,https://yotpo.com/go/aw6cwHkP
369,T,5,10/03/16,Best Hoodie!,"Love this hoodie! Its great I got a small and i always expect hoodies to be tight around the neck etc but this has enough space to just fit snug and cozy best hoodie i have ever had! such an awesome price for fairtrade! so comfy and warm, beautiful quality, Love it!",On Unisex Black Hoodie Organic Fairtrade,https://yotpo.com/go/m6oiIX9D
370,Anonymous,5,09/29/16,Love them!,I love these shoes and love knowing that they are made using fair trade.,On Sneakers Hitops White Discoloured Organic Fairtrade,https://yotpo.com/go/A9L7eTlo
371,Karen,5,09/29/16,Stylish and Handy,What a great surprise! Fantastic value for a teriffic bag. My new favorite! Get yours before they sell out!,On Organic Fairtrade Etiko Messenger Bag,https://yotpo.com/go/mHsvp2ZT
372,Vikki,5,09/27/16,Comfort at its best,"I adore this hoodie. I'm usually a ladies 8 and have this in an XS, which makes it larger on my small frame- in other words perfecting for lounging in.",On Unisex Black Hoodie Organic Fairtrade,https://yotpo.com/go/m6oiIX9D
373,Vikki,5,09/27/16,"So, So Comfortable ❤","I have this in an extra small and I'm a womens 8- which makes it slightly large on me.
The material is ultra soft, great quality, and Fair Trade Certified. I HIGHLY recommend buying one (..or two, or three).",On Unisex Hoodie Zipped Black Organic Fairtrade,https://yotpo.com/go/emyRyJaV
374,Leonie,5,09/21/16,Awesome shoes!,"Awesome shoes. Look cool with dresses and jeans, fit well, and are ethically made. I love the white!",On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
375,Anne D.,5,09/21/16,Etiko Natural Rubber Thongs.,"Etiko Natural Rubber Thongs are the BEST*
They are comfortable to wear, unusual with great designs,
ECO friendly & also support ECO causes.
Thanks ETIKO*",On Natural Rubber Thongs For Good 2 Pack,https://yotpo.com/go/pqHH9OOO
376,Anonymous,5,09/20/16,Great,"Great quality and fit. Smooth texture.
Just a tip with the sizes, I got the extra small and it is like size 10.
Thanks etiko",On Bikini Latte Organic Fairtrade,https://yotpo.com/go/hZUmzNtw
